18:32:51.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2620N, 111.7755, W, Speed (knots): , 41.99, Angle: 64.70, Altitude: 15510.80, Satellites: 10
18:32:52.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2621N, 111.7752, W, Speed (knots): , 32.62, Angle: 54.69, Altitude: 15479.50, Satellites: 10
18:32:55.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2622N, 111.7748, W, Speed (knots): , 28.23, Angle: 82.80, Altitude: 15448.50, Satellites: 10
18:32:58.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2623N, 111.7742, W, Speed (knots): , 35.83, Angle: 73.79, Altitude: 15400.70, Satellites: 10
18:33:0.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2624N, 111.7739, W, Speed (knots): , 26.66, Angle: 90.33, Altitude: 15368.70, Satellites: 10
18:33:3.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2624N, 111.7732, W, Speed (knots): , 40.68, Angle: 84.07, Altitude: 15321.10, Satellites: 10
18:33:6.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2625N, 111.7727, W, Speed (knots): , 18.26, Angle: 82.74, Altitude: 15271.50, Satellites: 10
18:33:8.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2625N, 111.7723, W, Speed (knots): , 32.68, Angle: 85.36, Altitude: 15240.00, Satellites: 10
18:33:10.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2626N, 111.7719, W, Speed (knots): , 26.18, Angle: 71.24, Altitude: 15209.90, Satellites: 10
18:33:12.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2626N, 111.7715, W, Speed (knots): , 32.16, Angle: 98.57, Altitude: 15179.20, Satellites: 10
18:33:14.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2626N, 111.7711, W, Speed (knots): , 38.85, Angle: 77.44, Altitude: 15148.20, Satellites: 10
18:33:16.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2627N, 111.7705, W, Speed (knots): , 28.60, Angle: 84.22, Altitude: 15100.50, Satellites: 10
18:33:19.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2627N, 111.7700, W, Speed (knots): , 47.29, Angle: 77.41, Altitude: 15069.30, Satellites: 10
18:33:20.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2628N, 111.7696, W, Speed (knots): , 37.60, Angle: 68.80, Altitude: 15040.00, Satellites: 10
18:33:24.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2629N, 111.7690, W, Speed (knots): , 41.86, Angle: 84.53, Altitude: 14996.10, Satellites: 10
18:33:26.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2629N, 111.7685, W, Speed (knots): , 38.03, Angle: 55.23, Altitude: 14965.60, Satellites: 10
18:33:28.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2631N, 111.7681, W, Speed (knots): , 26.55, Angle: 59.44, Altitude: 14937.60, Satellites: 10
18:33:31.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2632N, 111.7675, W, Speed (knots): , 31.18, Angle: 75.43, Altitude: 14893.80, Satellites: 10
18:33:32.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2632N, 111.7670, W, Speed (knots): , 43.85, Angle: 73.59, Altitude: 14863.70, Satellites: 10
18:33:35.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2633N, 111.7667, W, Speed (knots): , 24.81, Angle: 70.82, Altitude: 14833.80, Satellites: 10
18:33:36.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2633N, 111.7663, W, Speed (knots): , 23.65, Angle: 69.74, Altitude: 14808.40, Satellites: 10
18:33:40.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2635N, 111.7656, W, Speed (knots): , 42.85, Angle: 62.91, Altitude: 14766.90, Satellites: 10
18:33:42.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2636N, 111.7654, W, Speed (knots): , 19.88, Angle: 90.55, Altitude: 14738.10, Satellites: 10
18:33:44.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2637N, 111.7648, W, Speed (knots): , 36.47, Angle: 72.19, Altitude: 14693.50, Satellites: 10
18:33:47.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2638N, 111.7644, W, Speed (knots): , 26.31, Angle: 74.05, Altitude: 14663.90, Satellites: 10
18:33:48.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2639N, 111.7641, W, Speed (knots): , 20.24, Angle: 50.09, Altitude: 14637.00, Satellites: 10
18:33:52.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2640N, 111.7635, W, Speed (knots): , 34.54, Angle: 71.18, Altitude: 14594.40, Satellites: 10
18:33:54.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2641N, 111.7631, W, Speed (knots): , 29.89, Angle: 65.59, Altitude: 14564.90, Satellites: 10
18:33:56.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2641N, 111.7627, W, Speed (knots): , 38.93, Angle: 90.31, Altitude: 14535.90, Satellites: 10
18:33:58.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2642N, 111.7622, W, Speed (knots): , 42.71, Angle: 70.93, Altitude: 14508.30, Satellites: 10
18:34:0.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2643N, 111.7618, W, Speed (knots): , 34.42, Angle: 76.56, Altitude: 14478.60, Satellites: 10
18:34:3.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2643N, 111.7612, W, Speed (knots): , 28.77, Angle: 81.17, Altitude: 14433.90, Satellites: 10
18:34:6.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2645N, 111.7606, W, Speed (knots): , 30.24, Angle: 71.68, Altitude: 14393.70, Satellites: 10
18:34:8.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2646N, 111.7602, W, Speed (knots): , 27.37, Angle: 79.38, Altitude: 14366.20, Satellites: 10
18:34:10.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2646N, 111.7598, W, Speed (knots): , 41.78, Angle: 75.90, Altitude: 14337.70, Satellites: 10
18:34:12.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2648N, 111.7592, W, Speed (knots): , 33.15, Angle: 63.11, Altitude: 14294.80, Satellites: 10
18:34:15.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2647N, 111.7588, W, Speed (knots): , 37.54, Angle: 93.18, Altitude: 14266.00, Satellites: 10
18:34:18.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2648N, 111.7581, W, Speed (knots): , 35.34, Angle: 74.81, Altitude: 14221.00, Satellites: 10
18:34:20.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2648N, 111.7576, W, Speed (knots): , 30.53, Angle: 90.22, Altitude: 14193.20, Satellites: 10
18:34:22.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2648N, 111.7570, W, Speed (knots): , 49.34, Angle: 93.46, Altitude: 14163.80, Satellites: 10
18:34:24.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2649N, 111.7565, W, Speed (knots): , 32.83, Angle: 80.75, Altitude: 14135.20, Satellites: 10
18:34:26.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2649N, 111.7561, W, Speed (knots): , 31.09, Angle: 92.61, Altitude: 14107.70, Satellites: 10
18:34:28.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2649N, 111.7553, W, Speed (knots): , 42.80, Angle: 75.12, Altitude: 14068.00, Satellites: 10
18:34:31.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2651N, 111.7549, W, Speed (knots): , 38.51, Angle: 61.60, Altitude: 14042.50, Satellites: 10
18:34:32.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2651N, 111.7545, W, Speed (knots): , 27.49, Angle: 85.04, Altitude: 14016.10, Satellites: 10
18:34:36.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2651N, 111.7538, W, Speed (knots): , 34.79, Angle: 85.84, Altitude: 13976.30, Satellites: 10
18:34:38.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2652N, 111.7534, W, Speed (knots): , 37.58, Angle: 68.66, Altitude: 13949.80, Satellites: 10
18:34:40.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2653N, 111.7530, W, Speed (knots): , 28.94, Angle: 70.46, Altitude: 13923.10, Satellites: 10
18:34:42.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2653N, 111.7525, W, Speed (knots): , 47.08, Angle: 96.29, Altitude: 13894.80, Satellites: 10
18:34:44.984, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2654N, 111.7516, W, Speed (knots): , 44.97, Angle: 77.64, Altitude: 13855.80, Satellites: 10
18:34:47.0, Date: 1/6/24, Fix: 1,  quality: 2, Location: 44.2654N, 111.7512, W, Speed (knots): , 32.42, Angle: 72.19, Altitude: 13829.40, Satellites: 10
