17:23:24.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 14.19, Angle: 210.89, Altitude: 1439.40, Satellites: 9
17:23:27.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9992N, 112.2262, W, Speed (knots): , 13.42, Angle: 211.50, Altitude: 1426.40, Satellites: 10
17:23:28.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.08, Angle: 217.21, Altitude: 1447.10, Satellites: 10
17:23:31.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.01, Angle: 217.21, Altitude: 1450.50, Satellites: 10
17:23:34.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:36.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:38.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:40.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:43.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:44.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:48.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:51.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:52.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:55.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:23:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:0.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:2.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:4.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:7.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:8.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:11.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:12.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:15.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:16.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:19.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:20.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:24.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:26.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:28.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:30.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:32.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:35.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:36.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:39.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:42.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:44.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:47.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:48.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:52.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:54.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:24:56.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
24:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:0.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:3.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:4.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
:25:7.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:10.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
25:12.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:15.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:16.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:19.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:20.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
25:23.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:26.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:28.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:30.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
:32.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:35.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:36.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:40.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:42.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:44.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
25:46.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:48.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:51.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:52.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 10
17:25:56.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9993N, 112.2261, W, Speed (knots): , 0.00, Angle: 217.21, Altitude: 1451.60, Satellites: 11
