17:2:24.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4972, W, Speed (knots): , 5.62, Angle: 213.39, Altitude: 20917.30, Satellites: 10
17:2:27.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4973, W, Speed (knots): , 6.31, Angle: 347.85, Altitude: 20849.90, Satellites: 10
17:2:30.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4974, W, Speed (knots): , 8.20, Angle: 272.58, Altitude: 20750.60, Satellites: 10
17:2:32.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4976, W, Speed (knots): , 15.22, Angle: 256.77, Altitude: 20652.30, Satellites: 10
17:2:36.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9370N, 112.4978, W, Speed (knots): , 17.42, Angle: 239.51, Altitude: 20555.30, Satellites: 10
17:2:38.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9370N, 112.4980, W, Speed (knots): , 15.31, Angle: 235.28, Altitude: 20490.20, Satellites: 10
17:2:40.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9369N, 112.4981, W, Speed (knots): , 7.54, Angle: 213.59, Altitude: 20393.30, Satellites: 10
17:2:44.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9368N, 112.4982, W, Speed (knots): , 5.30, Angle: 217.57, Altitude: 20299.70, Satellites: 10
17:2:46.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9368N, 112.4983, W, Speed (knots): , 0.09, Angle: 288.89, Altitude: 20237.10, Satellites: 10
17:2:48.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9368N, 112.4983, W, Speed (knots): , 8.18, Angle: 287.97, Altitude: 20172.80, Satellites: 10
17:2:51.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9368N, 112.4984, W, Speed (knots): , 2.80, Angle: 348.39, Altitude: 20078.80, Satellites: 10
17:2:54.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9370N, 112.4984, W, Speed (knots): , 7.15, Angle: 28.82, Altitude: 19985.50, Satellites: 10
17:2:56.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9370N, 112.4984, W, Speed (knots): , 5.74, Angle: 32.51, Altitude: 19925.20, Satellites: 10
17:2:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4984, W, Speed (knots): , 8.25, Angle: 21.88, Altitude: 19863.80, Satellites: 10
17:3:0.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9371N, 112.4983, W, Speed (knots): , 4.07, Angle: 36.68, Altitude: 19801.30, Satellites: 10
17:3:2.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4982, W, Speed (knots): , 10.38, Angle: 72.26, Altitude: 19741.70, Satellites: 10
17:3:4.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4981, W, Speed (knots): , 6.00, Angle: 5.32, Altitude: 19652.80, Satellites: 10
17:3:7.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4981, W, Speed (knots): , 0.11, Angle: 87.26, Altitude: 19594.80, Satellites: 10
17:3:8.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9372N, 112.4980, W, Speed (knots): , 7.37, Angle: 42.16, Altitude: 19535.90, Satellites: 10
17:3:12.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9373N, 112.4980, W, Speed (knots): , 6.57, Angle: 334.96, Altitude: 19448.00, Satellites: 10
17:3:15.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9373N, 112.4980, W, Speed (knots): , 5.88, Angle: 4.24, Altitude: 19357.90, Satellites: 10
17:3:16.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9374N, 112.4979, W, Speed (knots): , 5.03, Angle: 76.59, Altitude: 19299.00, Satellites: 10
17:3:19.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9374N, 112.4978, W, Speed (knots): , 9.01, Angle: 89.99, Altitude: 19241.70, Satellites: 10
17:3:20.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9374N, 112.4977, W, Speed (knots): , 10.65, Angle: 59.93, Altitude: 19184.50, Satellites: 10
17:3:24.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4975, W, Speed (knots): , 6.57, Angle: 63.90, Altitude: 19097.60, Satellites: 10
17:3:26.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4974, W, Speed (knots): , 7.51, Angle: 103.69, Altitude: 19040.40, Satellites: 10
17:3:28.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4974, W, Speed (knots): , 6.69, Angle: 64.53, Altitude: 18984.00, Satellites: 10
17:3:30.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4973, W, Speed (knots): , 5.68, Angle: 83.50, Altitude: 18929.10, Satellites: 10
17:3:32.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4972, W, Speed (knots): , 0.19, Angle: 139.14, Altitude: 18846.40, Satellites: 10
17:3:35.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4972, W, Speed (knots): , 3.11, Angle: 107.57, Altitude: 18791.70, Satellites: 10
17:3:36.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4971, W, Speed (knots): , 7.96, Angle: 97.32, Altitude: 18737.60, Satellites: 10
17:3:40.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4969, W, Speed (knots): , 11.26, Angle: 63.19, Altitude: 18657.30, Satellites: 10
17:3:42.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4968, W, Speed (knots): , 9.01, Angle: 60.39, Altitude: 18603.50, Satellites: 10
17:3:44.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4966, W, Speed (knots): , 3.76, Angle: 80.30, Altitude: 18519.90, Satellites: 10
17:3:47.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4966, W, Speed (knots): , 8.23, Angle: 83.22, Altitude: 18467.10, Satellites: 10
17:3:48.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4965, W, Speed (knots): , 6.98, Angle: 113.49, Altitude: 18414.40, Satellites: 10
17:3:52.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4964, W, Speed (knots): , 5.30, Angle: 88.53, Altitude: 18336.10, Satellites: 10
17:3:54.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4963, W, Speed (knots): , 8.73, Angle: 117.41, Altitude: 18284.20, Satellites: 10
17:3:56.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4961, W, Speed (knots): , 12.99, Angle: 117.12, Altitude: 18230.90, Satellites: 10
17:3:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9374N, 112.4959, W, Speed (knots): , 19.81, Angle: 85.99, Altitude: 18176.30, Satellites: 10
17:4:0.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9374N, 112.4955, W, Speed (knots): , 20.87, Angle: 88.18, Altitude: 18097.30, Satellites: 10
17:4:3.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9374N, 112.4952, W, Speed (knots): , 22.83, Angle: 86.57, Altitude: 18045.00, Satellites: 10
17:4:6.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9375N, 112.4946, W, Speed (knots): , 30.58, Angle: 85.00, Altitude: 17962.80, Satellites: 10
17:4:8.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9376N, 112.4943, W, Speed (knots): , 29.61, Angle: 73.31, Altitude: 17910.60, Satellites: 10
17:4:10.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9377N, 112.4939, W, Speed (knots): , 30.68, Angle: 64.19, Altitude: 17860.30, Satellites: 10
17:4:12.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9378N, 112.4936, W, Speed (knots): , 30.14, Angle: 65.55, Altitude: 17811.10, Satellites: 10
17:4:15.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9380N, 112.4930, W, Speed (knots): , 28.84, Angle: 61.38, Altitude: 17733.50, Satellites: 10
17:4:18.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9382N, 112.4926, W, Speed (knots): , 28.04, Angle: 59.97, Altitude: 17656.20, Satellites: 10
17:4:20.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9383N, 112.4924, W, Speed (knots): , 21.03, Angle: 49.36, Altitude: 17605.50, Satellites: 10
17:4:22.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9384N, 112.4921, W, Speed (knots): , 19.84, Angle: 54.00, Altitude: 17555.10, Satellites: 10
17:4:24.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9385N, 112.4918, W, Speed (knots): , 18.32, Angle: 65.42, Altitude: 17481.80, Satellites: 10
17:4:27.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9386N, 112.4916, W, Speed (knots): , 22.48, Angle: 68.62, Altitude: 17434.20, Satellites: 10
17:4:28.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9387N, 112.4913, W, Speed (knots): , 19.21, Angle: 65.64, Altitude: 17385.10, Satellites: 10
17:4:31.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9388N, 112.4911, W, Speed (knots): , 23.68, Angle: 70.49, Altitude: 17333.80, Satellites: 10
