17:18:11.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7968N, 111.7985, W, Speed (knots): , 7.61, Angle: 39.07, Altitude: 1487.70, Satellites: 9
17:18:12.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7969N, 111.7985, W, Speed (knots): , 8.96, Angle: 30.21, Altitude: 1487.30, Satellites: 9
17:18:16.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7969N, 111.7984, W, Speed (knots): , 6.37, Angle: 30.32, Altitude: 1486.40, Satellites: 9
17:18:18.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7970N, 111.7984, W, Speed (knots): , 0.18, Angle: 30.19, Altitude: 1486.00, Satellites: 9
18:20.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7970N, 111.7984, W, Speed (knots): , 0.31, Angle: 30.19, Altitude: 1485.90, Satellites: 9
17:18:23.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7971N, 111.7984, W, Speed (knots): , 5.40, Angle: 26.26, Altitude: 1485.50, Satellites: 9
17:18:24.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7971N, 111.7984, W, Speed (knots): , 3.39, Angle: 16.25, Altitude: 1485.10, Satellites: 9
17:18:28.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7971N, 111.7984, W, Speed (knots): , 5.57, Angle: 326.29, Altitude: 1484.60, Satellites: 9
18:30.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.7986, W, Speed (knots): , 13.23, Angle: 279.05, Altitude: 1484.40, Satellites: 9
18:32.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.7988, W, Speed (knots): , 19.41, Angle: 271.88, Altitude: 1484.40, Satellites: 9
18:34.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.7991, W, Speed (knots): , 22.34, Angle: 273.34, Altitude: 1484.50, Satellites: 9
17:18:36.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.7996, W, Speed (knots): , 24.48, Angle: 273.20, Altitude: 1484.70, Satellites: 9
17:18:39.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8000, W, Speed (knots): , 27.82, Angle: 270.12, Altitude: 1485.00, Satellites: 9
17:18:40.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8003, W, Speed (knots): , 28.63, Angle: 269.60, Altitude: 1485.40, Satellites: 9
18:44.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8009, W, Speed (knots): , 29.96, Angle: 271.25, Altitude: 1485.70, Satellites: 9
18:46.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8013, W, Speed (knots): , 31.43, Angle: 269.86, Altitude: 1485.90, Satellites: 9
17:18:48.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8017, W, Speed (knots): , 32.09, Angle: 269.75, Altitude: 1485.90, Satellites: 9
17:18:51.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8024, W, Speed (knots): , 32.38, Angle: 270.03, Altitude: 1485.70, Satellites: 9
17:18:54.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8030, W, Speed (knots): , 32.77, Angle: 270.36, Altitude: 1485.60, Satellites: 9
17:18:56.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8034, W, Speed (knots): , 33.50, Angle: 269.50, Altitude: 1485.60, Satellites: 9
17:18:58.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8039, W, Speed (knots): , 34.01, Angle: 270.17, Altitude: 1485.20, Satellites: 9
17:19:0.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8043, W, Speed (knots): , 34.15, Angle: 271.06, Altitude: 1484.90, Satellites: 9
17:19:2.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7972N, 111.8047, W, Speed (knots): , 34.38, Angle: 271.16, Altitude: 1484.80, Satellites: 9
