16:8:35.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9831, W, Speed (knots): , 24.29, Angle: 268.49, Altitude: 28353.10, Satellites: 10
16:8:36.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9834, W, Speed (knots): , 21.15, Angle: 271.90, Altitude: 28268.10, Satellites: 10
16:8:39.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9836, W, Speed (knots): , 20.29, Angle: 268.59, Altitude: 28184.20, Satellites: 10
16:8:42.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9840, W, Speed (knots): , 18.76, Angle: 273.96, Altitude: 28058.90, Satellites: 10
16:8:44.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9843, W, Speed (knots): , 23.71, Angle: 276.41, Altitude: 27977.60, Satellites: 10
16:8:46.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9846, W, Speed (knots): , 24.38, Angle: 271.79, Altitude: 27898.30, Satellites: 10
16:8:48.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7892N, 111.9851, W, Speed (knots): , 26.12, Angle: 280.90, Altitude: 27775.50, Satellites: 10
16:8:51.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7892N, 111.9854, W, Speed (knots): , 26.92, Angle: 277.68, Altitude: 27699.00, Satellites: 10
16:8:52.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7892N, 111.9857, W, Speed (knots): , 27.77, Angle: 278.12, Altitude: 27623.50, Satellites: 10
16:8:55.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7893N, 111.9861, W, Speed (knots): , 27.12, Angle: 272.78, Altitude: 27546.50, Satellites: 10
16:8:58.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7893N, 111.9866, W, Speed (knots): , 24.24, Angle: 274.31, Altitude: 27420.90, Satellites: 10
16:9:0.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7893N, 111.9869, W, Speed (knots): , 23.68, Angle: 260.55, Altitude: 27335.20, Satellites: 10
16:9:2.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7892N, 111.9871, W, Speed (knots): , 21.15, Angle: 252.48, Altitude: 27253.80, Satellites: 10
16:9:4.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9875, W, Speed (knots): , 21.12, Angle: 254.71, Altitude: 27132.10, Satellites: 10
16:9:7.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7891N, 111.9877, W, Speed (knots): , 16.36, Angle: 255.14, Altitude: 27055.30, Satellites: 10
16:9:10.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7890N, 111.9880, W, Speed (knots): , 14.58, Angle: 253.88, Altitude: 26946.90, Satellites: 10
16:9:12.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7890N, 111.9882, W, Speed (knots): , 11.70, Angle: 261.13, Altitude: 26875.30, Satellites: 10
16:9:14.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7890N, 111.9884, W, Speed (knots): , 17.91, Angle: 261.96, Altitude: 26804.10, Satellites: 10
16:9:16.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7890N, 111.9886, W, Speed (knots): , 20.12, Angle: 256.21, Altitude: 26731.60, Satellites: 10
16:9:19.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7890N, 111.9889, W, Speed (knots): , 22.02, Angle: 263.29, Altitude: 26624.10, Satellites: 10
16:9:22.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7889N, 111.9893, W, Speed (knots): , 19.50, Angle: 265.89, Altitude: 26520.60, Satellites: 10
16:9:24.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7889N, 111.9896, W, Speed (knots): , 18.90, Angle: 269.37, Altitude: 26450.50, Satellites: 10
16:9:26.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7889N, 111.9898, W, Speed (knots): , 18.17, Angle: 264.03, Altitude: 26380.60, Satellites: 10
16:9:28.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7889N, 111.9901, W, Speed (knots): , 14.96, Angle: 271.33, Altitude: 26279.00, Satellites: 10
