16:10:48.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7879N, 111.9994, W, Speed (knots): , 30.44, Angle: 243.07, Altitude: 23599.60, Satellites: 10
16:10:52.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7880N, 111.9998, W, Speed (knots): , 18.76, Angle: 285.78, Altitude: 23498.90, Satellites: 10
16:10:55.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7882N, 112.0000, W, Speed (knots): , 20.41, Angle: 328.20, Altitude: 23401.50, Satellites: 10
16:10:56.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7883N, 112.0003, W, Speed (knots): , 31.49, Angle: 297.18, Altitude: 23340.50, Satellites: 10
16:10:59.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7884N, 112.0007, W, Speed (knots): , 32.46, Angle: 283.27, Altitude: 23279.60, Satellites: 10
16:11:0.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7884N, 112.0011, W, Speed (knots): , 31.02, Angle: 260.23, Altitude: 23218.00, Satellites: 10
16:11:3.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7882N, 112.0014, W, Speed (knots): , 19.48, Angle: 219.90, Altitude: 23154.40, Satellites: 10
16:11:6.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7881N, 112.0015, W, Speed (knots): , 7.32, Angle: 205.52, Altitude: 23058.20, Satellites: 10
16:11:8.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7881N, 112.0017, W, Speed (knots): , 13.27, Angle: 275.77, Altitude: 22994.00, Satellites: 10
16:11:10.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7881N, 112.0020, W, Speed (knots): , 31.80, Angle: 246.68, Altitude: 22930.10, Satellites: 10
16:11:12.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7878N, 112.0023, W, Speed (knots): , 26.09, Angle: 209.89, Altitude: 22835.30, Satellites: 10
16:11:16.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7877N, 112.0023, W, Speed (knots): , 7.32, Angle: 159.30, Altitude: 22739.90, Satellites: 10
16:11:18.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7877N, 112.0024, W, Speed (knots): , 11.04, Angle: 333.93, Altitude: 22674.90, Satellites: 10
16:11:20.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7878N, 112.0026, W, Speed (knots): , 20.63, Angle: 301.15, Altitude: 22612.90, Satellites: 10
16:11:22.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7880N, 112.0028, W, Speed (knots): , 24.71, Angle: 302.57, Altitude: 22552.90, Satellites: 10
16:11:24.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7881N, 112.0029, W, Speed (knots): , 8.67, Angle: 357.25, Altitude: 22494.80, Satellites: 10
