16:21:56.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7731N, 111.9192, W, Speed (knots): , 39.11, Angle: 82.08, Altitude: 11219.20, Satellites: 10
16:21:58.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7731N, 111.9187, W, Speed (knots): , 42.57, Angle: 76.07, Altitude: 11195.60, Satellites: 10
16:22:0.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9183, W, Speed (knots): , 32.46, Angle: 79.81, Altitude: 11171.20, Satellites: 10
16:22:2.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9179, W, Speed (knots): , 29.24, Angle: 93.81, Altitude: 11145.70, Satellites: 10
16:22:4.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7731N, 111.9175, W, Speed (knots): , 40.24, Angle: 98.09, Altitude: 11122.00, Satellites: 10
16:22:6.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7731N, 111.9169, W, Speed (knots): , 45.01, Angle: 83.34, Altitude: 11097.60, Satellites: 10
16:22:8.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9164, W, Speed (knots): , 37.85, Angle: 77.75, Altitude: 11071.80, Satellites: 10
16:22:11.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9157, W, Speed (knots): , 33.77, Angle: 93.54, Altitude: 11034.80, Satellites: 10
16:22:12.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9152, W, Speed (knots): , 41.91, Angle: 88.01, Altitude: 11009.60, Satellites: 10
16:22:15.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9147, W, Speed (knots): , 35.24, Angle: 82.61, Altitude: 10983.40, Satellites: 10
16:22:18.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7733N, 111.9141, W, Speed (knots): , 29.61, Angle: 91.16, Altitude: 10942.40, Satellites: 10
16:22:20.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9136, W, Speed (knots): , 43.52, Angle: 90.96, Altitude: 10917.50, Satellites: 10
16:22:23.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7733N, 111.9129, W, Speed (knots): , 38.78, Angle: 78.31, Altitude: 10880.00, Satellites: 10
16:22:24.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7733N, 111.9124, W, Speed (knots): , 36.07, Angle: 95.31, Altitude: 10854.20, Satellites: 10
16:22:27.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7732N, 111.9120, W, Speed (knots): , 41.73, Angle: 92.08, Altitude: 10828.30, Satellites: 10
16:22:30.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7733N, 111.9112, W, Speed (knots): , 35.07, Angle: 80.10, Altitude: 10791.00, Satellites: 10
16:22:32.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7733N, 111.9109, W, Speed (knots): , 28.30, Angle: 77.27, Altitude: 10768.20, Satellites: 10
16:22:34.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7733N, 111.9105, W, Speed (knots): , 30.50, Angle: 94.82, Altitude: 10745.40, Satellites: 10
16:22:36.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7733N, 111.9099, W, Speed (knots): , 44.70, Angle: 83.41, Altitude: 10721.00, Satellites: 10
16:22:38.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7734N, 111.9094, W, Speed (knots): , 37.84, Angle: 70.14, Altitude: 10696.00, Satellites: 10
16:22:40.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7735N, 111.9090, W, Speed (knots): , 28.37, Angle: 77.04, Altitude: 10670.70, Satellites: 10
16:22:43.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7735N, 111.9084, W, Speed (knots): , 34.79, Angle: 92.43, Altitude: 10634.70, Satellites: 10
16:22:44.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7735N, 111.9078, W, Speed (knots): , 43.20, Angle: 85.77, Altitude: 10610.10, Satellites: 10
16:22:47.0, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7736N, 111.9074, W, Speed (knots): , 31.74, Angle: 72.78, Altitude: 10585.00, Satellites: 10
16:22:48.984, Date: 1/7/23, Fix: 1,  quality: 2, Location: 43.7736N, 111.9071, W, Speed (knots): , 27.00, Angle: 87.86, Altitude: 10559.60, Satellites: 10
