time, Longitude, Longitude, Speed(Kn), Angle(°), Altatude(m),,,,
8:09:02 AM,43.8399,-112.2548,0.04,70.26,1508.6,,,,
8:09:05 AM,43.8399,-112.2548,0.02,259.71,1508.6,,,,
8:09:07 AM,43.8399,-112.2548,0.04,238.02,1508.5,,,,
8:09:09 AM,43.8399,-112.2548,0.02,194.02,1508.5,,,,
8:09:11 AM,43.8399,-112.2548,0.01,154.8,1508.4,,,,
8:09:13 AM,43.8399,-112.2548,0.01,161.67,1508.4,,,,
8:09:15 AM,43.8399,-112.2548,0.01,317.19,1508.4,,,,
8:09:18 AM,43.8399,-112.2548,0.01,154.97,1508.3,,,,
8:09:20 AM,43.8399,-112.2548,0.02,163.03,1508.3,,,,
8:09:22 AM,43.8399,-112.2548,0.01,21.29,1508.3,,,,
6:09:25 PM,43.8399,-112.2548,0.06,300.85,1508.3,,,,
8:09:27 AM,43.8399,-112.2548,0.01,295.6,1508.3,,,,
6:09:29 PM,43.8399,-112.2548,0.01,143.58,1508.3,,,,
8:09:31 AM,43.8399,-112.2548,0.01,169.72,1508.3,,,,
8:09:34 AM,43.8399,-112.2548,0,8.59,1508.3,,,,
6:09:36 PM,43.8399,-112.2548,0.03,123.36,1508.3,,,,
8:09:38 AM,43.8399,-112.2548,0.06,120.24,1508.3,,,,
8:09:40 AM,43.8399,-112.2548,0.03,100.45,1508.3,,,,
6:09:42 PM,43.8399,-112.2548,0.06,109.23,1508.3,,,,
8:09:45 AM,43.8399,-112.2548,0.04,110.07,1508.3,,,,
6:09:48 PM,43.8399,-112.2548,0.05,127.64,1508.2,,,,
8:09:50 AM,43.8399,-112.2548,0.01,250.41,1508.2,,,,
8:09:52 AM,43.8399,-112.2548,0.07,152.62,1508.2,,,,
8:09:54 AM,43.8399,-112.2548,0.03,221.45,1508.2,,,,
8:09:56 AM,43.8399,-112.2548,0.04,308.05,1508.2,,,,
#VALUE!,43.8399,-112.2548,0.02,140.21,1508.2,,,,
8:10:01 AM,43.8399,-112.2548,0.02,218.34,1508.3,,,,
8:10:03 AM,43.8399,-112.2548,0.01,200.42,1508.3,,,,
8:10:05 AM,43.8399,-112.2548,0.01,148.25,1508.3,,,,
8:10:08 AM,43.8399,-112.2548,0.02,256.18,1508.3,,,,
8:10:10 AM,43.8399,-112.2548,0.02,299.5,1508.3,,,,
8:10:12 AM,43.8399,-112.2548,0.01,5.26,1508.3,,,,
8:10:14 AM,43.8399,-112.2548,0.11,131.38,1508.3,,,,
8:10:17 AM,43.8399,-112.2548,0.02,273.49,1508.3,,,,
8:10:19 AM,43.8399,-112.2548,0.01,191.84,1508.3,,,,
8:10:21 AM,43.8399,-112.2548,0.02,70.95,1508.3,,,,
8:10:23 AM,43.8399,-112.2548,0.01,311.86,1508.3,,,,
8:10:26 AM,43.8399,-112.2548,0.02,322.57,1508.3,,,,
8:10:28 AM,43.8399,-112.2548,0.01,357.35,1508.3,,,,
6:10:31 PM,43.8399,-112.2548,0.02,291.85,1508.3,,,,
8:10:33 AM,43.8399,-112.2548,0.04,150.01,1508.3,,,,
8:10:35 AM,43.8399,-112.2548,0.02,265.73,1508.3,,,,
6:10:38 PM,43.8399,-112.2548,0.04,190.41,1508.3,,,,
