0,1,2,92.00
0,1,2,92.00
0,1,3,92.00
0,1,3,92.00
0,1,4,90.00
0,1,4,90.00
0,1,5,96.00
0,1,5,98.00
0,1,6,98.00
0,1,7,91.00
0,1,7,91.00
0,1,8,89.00
0,1,8,89.00
0,1,9,95.00
0,1,9,97.00
0,1,10,97.00
0,1,10,99.00
0,1,11,99.00
0,1,11,88.00
0,1,12,88.00
0,1,12,97.00
0,1,13,93.00
0,1,13,93.00
0,1,14,107.00
0,1,14,107.00
0,1,15,100.00
0,1,15,100.00
0,1,16,114.00
0,1,16,114.00
0,1,17,114.00
0,1,17,116.00
0,1,18,116.00
0,1,18,116.00
0,1,19,107.00
0,1,19,107.00
0,1,20,107.00
0,1,20,107.00
0,1,21,100.00
0,1,21,100.00
0,1,22,100.00
0,1,22,91.00
0,1,23,91.00
0,1,23,91.00
0,1,24,96.00
0,1,24,96.00
0,1,25,96.00
0,1,25,96.00
0,1,26,91.00
0,1,26,91.00
0,1,27,91.00
0,1,27,88.00
0,1,28,88.00
0,1,28,88.00
0,1,29,72.00
0,1,29,72.00
0,1,30,72.00
0,1,30,72.00
0,1,31,70.00
0,1,31,70.00
0,1,32,70.00
0,1,32,68.00
0,1,33,68.00
0,1,33,68.00
0,1,34,72.00
0,1,34,72.00
0,1,35,72.00
0,1,35,72.00
0,1,36,72.00
0,1,36,72.00
0,1,37,72.00
0,1,37,84.00
0,1,38,84.00
0,1,38,84.00
0,1,39,93.00
0,1,39,93.00
0,1,40,93.00
0,1,40,93.00
0,1,41,86.00
0,1,41,86.00
0,1,42,86.00
0,1,42,86.00
0,1,43,86.00
0,1,43,86.00
0,1,44,98.00
0,1,44,98.00
0,1,45,98.00
0,1,45,98.00
0,1,46,96.00
0,1,46,96.00
0,1,47,96.00
0,1,47,103.00
0,1,48,103.00
0,1,48,103.00
0,1,49,94.00
0,1,50,94.00
0,1,50,94.00
0,1,51,94.00
0,1,51,83.00
0,1,52,83.00
0,1,52,83.00
0,1,53,92.00
0,1,53,92.00
0,1,54,92.00
0,1,55,80.00
0,1,55,80.00
0,1,56,80.00
0,1,56,75.00
0,1,57,75.00
0,1,57,75.00
0,1,58,82.00
0,1,58,82.00
0,1,59,82.00
0,1,59,82.00
0,2,0,87.00
0,2,0,87.00
0,2,1,87.00
0,2,1,78.00
0,2,2,78.00
0,2,2,78.00
0,2,3,87.00
