START OF NEW COLLECT
2023-7-1 7:46:17, ppm
2023-7-1 7:46:18,500 ppm
2023-7-1 7:46:20,500 ppm
2023-7-1 7:46:21,500 ppm
2023-7-1 7:46:23,500 ppm
2023-7-1 7:46:25,500 ppm
2023-7-1 7:46:26,500 ppm
2023-7-1 7:46:28,291 ppm
2023-7-1 7:46:29,291 ppm
2023-7-1 7:46:31,291 ppm
2023-7-1 7:46:32,291 ppm
2023-7-1 7:46:34,291 ppm
2023-7-1 7:46:35,291 ppm
2023-7-1 7:46:37,291 ppm
2023-7-1 7:46:38,291 ppm
2023-7-1 7:46:40,291 ppm
2023-7-1 7:46:41,291 ppm
2023-7-1 7:46:43,291 ppm
2023-7-1 7:46:44,291 ppm
2023-7-1 7:46:46,291 ppm
2023-7-1 7:46:48,291 ppm
2023-7-1 7:46:49,291 ppm
2023-7-1 7:46:51,291 ppm
2023-7-1 7:46:52,291 ppm
2023-7-1 7:46:54,291 ppm
2023-7-1 7:46:55,291 ppm
2023-7-1 7:46:57,291 ppm
2023-7-1 7:46:58,291 ppm
2023-7-1 7:47:0,291 ppm
2023-7-1 7:47:1,291 ppm
2023-7-1 7:47:3,291 ppm
2023-7-1 7:47:4,292 ppm
2023-7-1 7:47:6,292 ppm
2023-7-1 7:47:7,292 ppm
2023-7-1 7:47:9,293 ppm
2023-7-1 7:47:11,293 ppm
2023-7-1 7:47:12,293 ppm
START OF NEW COLLECT
2023-7-1 7:47:15,294 ppm
2023-7-1 7:47:17,295 ppm
2023-7-1 7:47:19,295 ppm
2023-7-1 7:47:20,296 ppm
2023-7-1 7:47:22,296 ppm
2023-7-1 7:47:23,296 ppm
2023-7-1 7:47:25,297 ppm
2023-7-1 7:47:26,297 ppm
2023-7-1 7:47:28,298 ppm
2023-7-1 7:47:29,298 ppm
2023-7-1 7:47:31,299 ppm
2023-7-1 7:47:32,299 ppm
2023-7-1 7:47:34,301 ppm
2023-7-1 7:47:35,301 ppm
2023-7-1 7:47:37,301 ppm
2023-7-1 7:47:38,302 ppm
2023-7-1 7:47:40,302 ppm
2023-7-1 7:47:42,302 ppm
2023-7-1 7:47:43,303 ppm
2023-7-1 7:47:45,303 ppm
2023-7-1 7:47:46,303 ppm
2023-7-1 7:47:48,303 ppm
2023-7-1 7:47:49,303 ppm
2023-7-1 7:47:51,303 ppm
2023-7-1 7:47:52,303 ppm
2023-7-1 7:47:54,303 ppm
2023-7-1 7:47:55,304 ppm
2023-7-1 7:47:57,304 ppm
2023-7-1 7:47:58,304 ppm
2023-7-1 7:48:0,304 ppm
2023-7-1 7:48:1,304 ppm
2023-7-1 7:48:3,304 ppm
2023-7-1 7:48:5,304 ppm
2023-7-1 7:48:6,304 ppm
2023-7-1 7:48:8,304 ppm
2023-7-1 7:48:9,305 ppm
2023-7-1 7:48:11,305 ppm
2023-7-1 7:48:12,305 ppm
2023-7-1 7:48:14,305 ppm
2023-7-1 7:48:15,305 ppm
2023-7-1 7:48:17,305 ppm
2023-7-1 7:48:18,306 ppm
2023-7-1 7:48:20,306 ppm
2023-7-1 7:48:21,306 ppm
2023-7-1 7:48:23,306 ppm
2023-7-1 7:48:24,306 ppm
2023-7-1 7:48:26,306 ppm
2023-7-1 7:48:28,306 ppm
2023-7-1 7:48:29,306 ppm
2023-7-1 7:48:31,306 ppm
2023-7-1 7:48:32,306 ppm
2023-7-1 7:48:34,307 ppm
2023-7-1 7:48:35,306 ppm
2023-7-1 7:48:37,306 ppm
2023-7-1 7:48:38,306 ppm
2023-7-1 7:48:40,306 ppm
2023-7-1 7:48:41,306 ppm
2023-7-1 7:48:43,306 ppm
2023-7-1 7:48:44,306 ppm
2023-7-1 7:48:46,306 ppm
2023-7-1 7:48:47,306 ppm
2023-7-1 7:48:49,306 ppm
2023-7-1 7:48:51,306 ppm
2023-7-1 7:48:52,306 ppm
2023-7-1 7:48:54,306 ppm
2023-7-1 7:48:55,306 ppm
2023-7-1 7:48:57,306 ppm
2023-7-1 7:48:58,306 ppm
2023-7-1 7:49:0,306 ppm
2023-7-1 7:49:1,307 ppm
2023-7-1 7:49:3,307 ppm
2023-7-1 7:49:4,307 ppm
2023-7-1 7:49:6,308 ppm
2023-7-1 7:49:7,308 ppm
2023-7-1 7:49:9,308 ppm
2023-7-1 7:49:10,308 ppm
2023-7-1 7:49:12,308 ppm
2023-7-1 7:49:14,309 ppm
2023-7-1 7:49:15,309 ppm
2023-7-1 7:49:17,309 ppm
2023-7-1 7:49:18,309 ppm
2023-7-1 7:49:20,309 ppm
2023-7-1 7:49:21,310 ppm
2023-7-1 7:49:23,310 ppm
2023-7-1 7:49:24,310 ppm
2023-7-1 7:49:26,310 ppm
2023-7-1 7:49:27,310 ppm
2023-7-1 7:49:29,311 ppm
2023-7-1 7:49:30,311 ppm
2023-7-1 7:49:32,311 ppm
2023-7-1 7:49:33,311 ppm
2023-7-1 7:49:35,311 ppm
2023-7-1 7:49:37,311 ppm
2023-7-1 7:49:38,311 ppm
